id	logFC	AveExpr	t	P.Value	adj.P.Val	B
RBM19	0.865174171	2.303100217	13.56146464	4.88E-35	3.75E-33	68.81249832
ARFGAP1	1.098809048	3.316094751	13.558207	5.04E-35	3.86E-33	68.78183373
MLEC	1.261512628	4.891390496	13.53808343	6.10E-35	4.65E-33	68.59247198
CCNB1	2.343750962	2.741981235	13.53027373	6.56E-35	4.99E-33	68.51901274
RBM3	1.424603898	4.187702104	13.52511714	6.89E-35	5.22E-33	68.47051818
SAMD1	1.332515936	3.75804532	13.52459176	6.93E-35	5.23E-33	68.46557769
B4GALT3	1.152262731	3.202831636	13.51414705	7.65E-35	5.75E-33	68.36737533
ATRIP	0.684205159	1.347837155	13.50053258	8.71E-35	6.51E-33	68.23941527
TMEM106C	1.744363981	3.974065816	13.48597634	9.99E-35	7.45E-33	68.10265988
PPIB	1.131931913	6.399407671	13.48393548	1.02E-34	7.57E-33	68.08349074
CRTC2	1.060102925	3.778420571	13.47517806	1.11E-34	8.19E-33	68.00124803
LUC7L2	0.668890303	1.967970861	13.46813691	1.18E-34	8.72E-33	67.93513843
RRP36	1.04752402	3.876976677	13.46086492	1.27E-34	9.31E-33	67.86687589
C14orf93	0.72457429	1.309021147	13.45261416	1.37E-34	1.00E-32	67.7894433
RNPEPL1	1.059316836	3.546376308	13.44452506	1.48E-34	1.08E-32	67.71354613
SCAF1	0.983443549	3.993885028	13.44267827	1.51E-34	1.09E-32	67.69622091
SRP14	0.899700342	6.347002706	13.43900511	1.56E-34	1.13E-32	67.66176482
YIPF3	1.048555005	5.404105967	13.43241316	1.66E-34	1.20E-32	67.59993835
CCDC137	1.299725771	3.172057444	13.43029675	1.69E-34	1.22E-32	67.58009089
ORMDL2	0.900455179	2.298008145	13.4242335	1.79E-34	1.28E-32	67.52323744
CKS1B	1.451623592	3.280458522	13.4194393	1.88E-34	1.34E-32	67.47829074
TFG	0.833591968	3.383585532	13.41530361	1.95E-34	1.39E-32	67.43952285
PPP1R35	1.244084207	2.666145601	13.4094694	2.06E-34	1.46E-32	67.38484123
COPS5	0.926021869	2.569586051	13.4030171	2.19E-34	1.55E-32	67.32437756
GOLGA3	0.962788654	2.546565256	13.40168477	2.22E-34	1.56E-32	67.31189394
NSF	0.939130784	2.74526971	13.40135972	2.23E-34	1.56E-32	67.30884829
UBE2A	1.047408369	3.102667584	13.3988678	2.28E-34	1.59E-32	67.28550113
NISCH	0.901611441	2.761057612	13.39707408	2.32E-34	1.61E-32	67.26869653
ZKSCAN5	0.701712488	1.486473093	13.39696622	2.32E-34	1.61E-32	67.26768613
MRPS23	1.058160635	2.626573667	13.39135783	2.45E-34	1.69E-32	67.21514952
MT1M	-4.386791481	2.945447149	-13.38884162	2.51E-34	1.72E-32	67.19158183
SPSB2	1.322337041	2.110168302	13.38322589	2.64E-34	1.81E-32	67.13898929
GMEB2	0.898592302	2.200518668	13.38044552	2.71E-34	1.85E-32	67.1129538
PHPT1	1.594371332	4.94030336	13.3789377	2.75E-34	1.87E-32	67.09883538
GRK6	1.104792683	2.743084361	13.37740589	2.79E-34	1.89E-32	67.08449306
HDAC11	1.449276452	2.195349199	13.3759681	2.83E-34	1.91E-32	67.07103167
WDR46	1.169641229	4.049663421	13.3744332	2.87E-34	1.93E-32	67.05666159
MAVS	1.168730831	2.703545317	13.37227907	2.93E-34	1.97E-32	67.03649538
DXO	1.155374121	2.611174988	13.36508873	3.14E-34	2.10E-32	66.96919136
FTSJ3	1.034308773	3.392669115	13.3628381	3.20E-34	2.13E-32	66.94812768
CPSF4	1.066292825	2.461734242	13.3456204	3.77E-34	2.50E-32	66.78703435
NAXE	1.271585172	5.851347598	13.3405044	3.96E-34	2.62E-32	66.7391838
MAPK3	1.111548367	3.22010607	13.33655107	4.11E-34	2.71E-32	66.70221292
POLR1A	0.887027897	1.764727919	13.32309264	4.66E-34	3.06E-32	66.57638527
LARS1	0.838410206	1.877841221	13.31956451	4.82E-34	3.16E-32	66.54340801
TIGD6	0.528254339	1.121579862	13.31651971	4.96E-34	3.24E-32	66.51495126
UCK2	1.342684289	1.814391319	13.31260945	5.15E-34	3.35E-32	66.47840983
VPS33A	0.807302806	1.564074032	13.30499982	5.53E-34	3.59E-32	66.40731011
KRI1	0.911250231	2.545679967	13.30249887	5.66E-34	3.66E-32	66.38394636
CDKN2AIPNL	1.291017855	3.544977814	13.28522049	6.67E-34	4.29E-32	66.22258161
RIC8A	0.98492018	3.414165938	13.2842048	6.73E-34	4.32E-32	66.2130986
CACYBP	1.358087867	3.482760985	13.28372299	6.76E-34	4.32E-32	66.2086003
METTL6	0.656182515	1.170891365	13.27592635	7.28E-34	4.64E-32	66.13581785
GPBP1	0.846616812	3.305635368	13.27523563	7.32E-34	4.65E-32	66.12937075
SAE1	1.289009257	4.086192179	13.2658481	8.00E-34	5.07E-32	66.0417622
MXD3	1.243486758	1.350772406	13.24866328	9.41E-34	5.94E-32	65.88145145
TMEM104	1.153943155	2.778268126	13.24055009	1.02E-33	6.39E-32	65.80579622
RMND5B	0.740199819	2.294876063	13.23861538	1.03E-33	6.49E-32	65.78775791
AP1S1	1.095286992	4.795471786	13.23706392	1.05E-33	6.56E-32	65.77329355
ATP6V1E1	0.978290766	4.706144974	13.2361185	1.06E-33	6.60E-32	65.76447979
NAA20	1.145281087	4.881459881	13.2354804	1.06E-33	6.62E-32	65.75853112
ZBTB45	0.912895655	1.927744094	13.23483243	1.07E-33	6.63E-32	65.75249057
ATG13	0.76754518	3.37019834	13.23296914	1.09E-33	6.73E-32	65.73512116
CORO1B	1.126671748	3.931120806	13.23142958	1.11E-33	6.81E-32	65.7207704
