"","FeatureName","FeatureID","AvgRank"
"230","FGFR4",186,198
"231","RPL23A",251,198
"232","PGP",24,198.7
"233","SLC39A14",19,199.6
"234","MRPS12",169,199.6
"235","RUVBL2",135,200.2
"236","HM13",224,200.9
"237","MFSD5",97,201.4
"238","HDAC11",211,202.5
"239","ITGB1BP1",151,202.6
"240","IRF3",182,204.2
"241","SNRPB",126,206.5
"242","CYP4A11",84,207
"243","ALDH6A1",133,208
"244","HSD17B6",88,209.3
"245","RNPEPL1",241,210.2
"246","EXOSC5",198,210.3
"247","C7orf50",141,210.4
"248","SCP2",209,211.5
"249","PBLD",89,212.3
"250","ACSL1",96,212.4
"251","MYL6B",253,213.2
"252","EPHX2",11,213.3
"253","CDK5",76,213.7
"254","CAT",152,215.1
"255","SLC46A3",175,215.7
"256","ADRA1A",140,216.9
"257","FASTK",218,217.2
"258","MASP1",247,219.9
"259","CYP39A1",165,222.6
"260","TLCD4",196,224
"261","RALY",132,226
